"distance","AIC","deltaAIC","logLik","M_stat","M_p.value","R2","converge"
1,416.901452293252,-6.17007757453666,-197.450726146626,0.629454673140917,0.264525717153428,0.14324256862562,TRUE
2,421.155574107609,-10.4241993888929,-197.577787053804,0.144426711911247,0.44258176243848,0.139899641946419,TRUE
3,419.910034083146,-9.17865936443036,-196.955017041573,0.17923763439876,0.428875557103766,0.156151835330605,TRUE
4,416.851339363707,-6.11996464499174,-195.425669681854,0.12342158562842,0.45088663244503,0.194682574256941,TRUE
5,414.898903080995,-4.16752836227937,-194.449451540497,0.170938077660794,0.432136227816506,0.218290210163664,TRUE
6,410.388082023264,0.343292695451794,-192.194041011632,0.75969248003537,0.223719212408931,0.270053507422743,TRUE
7,408.860541183932,1.8708335347838,-191.430270591966,0.157949608770663,0.437248253260218,0.286744508600909,TRUE
8,409.145863527756,1.58551119096006,-191.572931763878,0.27847892577999,0.390322370133599,0.283657985662052,TRUE
9,405.331537777238,5.39983694147719,-189.665768888619,0.403829971336301,0.343168877608494,0.323773189337929,TRUE
10,402.42600055637,8.30537416234557,-188.213000278185,0.193072255200097,0.423451190482388,0.352728602436194,TRUE
11,401.348507273081,9.38286744563499,-187.67425363654,0.398439331396845,0.345153185237158,0.363130099677014,TRUE
12,401.784634681868,8.94674003684742,-187.892317340934,0.618296358785065,0.268190000845278,0.358941450159957,TRUE
13,400.566614285533,10.1647604331831,-187.283307142766,1.04034869189067,0.149088964935983,0.370567224958474,TRUE
14,401.806951241727,8.92442347698841,-187.903475620864,1.29499878881493,0.0976603236514357,0.358726335187514,TRUE
15,402.024558541555,8.7068161771607,-188.012279270777,1.44754089071185,0.0738727462875105,0.356624754203146,TRUE
16,401.610025782947,9.12134893576871,-187.805012891473,1.5140465057405,0.0650070223896982,0.360621915521108,TRUE
17,399.918750326395,10.8126243923209,-186.959375163197,1.58273610494137,0.0567408127017582,0.376659923133031,TRUE
18,398.71799756512,12.0133771535959,-186.35899878256,1.82498775784628,0.0340014383821002,0.38778791668556,TRUE
19,397.890951413509,12.8404233052061,-185.945475706755,1.98110042381072,0.0237900063916191,0.395330402425776,TRUE
20,397.588775447396,13.14259927132,-185.794387723698,2.12799965381164,0.0166685561414929,0.398061657407229,TRUE
21,396.070118582866,14.6612561358494,-185.035059291433,2.21933092653029,0.0132321095433278,0.411592477740504,TRUE
22,394.754340515991,15.9770342027249,-184.377170257995,2.3165289093183,0.010264703932485,0.423056403786868,TRUE
23,395.447112569709,15.2842621490066,-184.723556284854,2.36431118025788,0.0090318163958017,0.417050157069358,TRUE
24,396.576209841412,14.1551648773034,-185.288104920706,2.40841072366474,0.00801107221326034,0.407119344484229,TRUE
25,396.351597609873,14.3797771088427,-185.175798804936,2.4193047154861,0.00777510390795991,0.409109010237981,TRUE
26,396.457978450208,14.2733962685077,-185.228989225104,2.4396848671237,0.00735003955200339,0.408167544111127,TRUE
27,396.009697700019,14.7216770186964,-185.00484885001,2.46146227820504,0.00691859738420801,0.412124130130177,TRUE
28,395.426350458027,15.3050242606887,-184.713175229013,2.49616155524334,0.00627727042756048,0.417231116611803,TRUE
29,394.999363078163,15.7320116405525,-184.499681539082,2.57055094502708,0.00507684456358686,0.420939577039934,TRUE
30,393.724600559565,17.006774159151,-183.862300279782,2.60909390241813,0.00453911634662319,0.431863932441991,TRUE
31,393.956901769347,16.7744729493688,-183.978450884673,2.53129320295783,0.00568214038506069,0.429889468962771,TRUE
32,392.51495273936,18.2164219793555,-183.25747636968,2.66127828015643,0.00389222953745251,0.442029737605993,TRUE
33,392.455519079858,18.2758556388571,-183.227759539929,2.60647157595672,0.00457402081610923,0.442524253983496,TRUE
34,392.728520699866,18.0028540188495,-183.364260349933,2.56653251954956,0.00513604964365839,0.440248937726788,TRUE
35,392.415554024707,18.3158206940089,-183.207777012353,2.55706937347999,0.00527790818177805,0.442856522986865,TRUE
36,392.126150664895,18.6052240538202,-183.063075332448,2.56487932470525,0.00516058471622363,0.445256410808801,TRUE
37,391.844545199207,18.8868295195085,-182.922272599604,2.59539934334457,0.00472405362077636,0.447581197572764,TRUE
38,390.832686538287,19.8986881804286,-182.416343269143,2.67564249098047,0.00372930800260297,0.45585038282972,TRUE
39,390.593654206503,20.1377205122122,-182.296827103252,2.68675764553621,0.00360746404944377,0.457784753720613,TRUE
40,390.224182087561,20.5071926311546,-182.11209104378,2.72001573024529,0.00326394054354258,0.460760504376106,TRUE
41,388.480489606681,22.2508851120344,-181.240244803341,2.8330381542421,0.00230539411137888,0.474574571208993,TRUE
42,388.246543635459,22.4848310832564,-181.12327181773,2.84410527931242,0.00222681647966492,0.476399497064323,TRUE
43,388.067957330714,22.6634173880015,-181.033978665357,2.86192950873607,0.00210535272956411,0.477788104831139,TRUE
44,388.009436685555,22.7219380331611,-181.004718342777,2.90742658902266,0.00182207933468679,0.478242294242669,TRUE
45,388.319398547179,22.4119761715369,-181.159699273589,2.83434381519514,0.00229599491365925,0.47583189723302,TRUE
46,388.484108845071,22.2472658736444,-181.242054422536,2.82883650593339,0.00233587792142646,0.4745462864891,TRUE
47,388.803383529352,21.9279911893639,-181.401691764676,2.78186627570442,0.00270236523481202,0.472044821579119,TRUE
48,388.394846558651,22.3365281600646,-181.197423279325,2.86098072132446,0.00211166366435027,0.475243414301087,TRUE
49,388.814222040216,21.9171526784993,-181.407111020108,2.84320453001151,0.00223311996098621,0.471959684542406,TRUE
50,389.013897003715,21.7174777150003,-181.506948501858,2.87156199531552,0.00204224328387639,0.470388646392661,TRUE
