distance,group,SP,layer,deltaAIC
19,DB,canopy,understory,36.83194472
20,DB,canopy,understory,36.66492285
21,DB,canopy,understory,36.65733933
22,DB,canopy,understory,36.24773561
23,DB,canopy,understory,35.65645669
24,DB,canopy,understory,36.74042505
25,DB,canopy,understory,37.65115586
26,DB,canopy,understory,37.5229093
27,DB,canopy,understory,37.8032655
28,DB,canopy,understory,38.39236965
29,DB,canopy,understory,38.24109445
30,DB,canopy,understory,37.32799829
31,DB,canopy,understory,36.73322382
32,DB,canopy,understory,36.76105637
33,DB,canopy,understory,36.94641807
34,DB,canopy,understory,37.24188282
35,DB,canopy,understory,36.38968462
36,DB,canopy,understory,35.90286342
37,DB,canopy,understory,35.87744112
38,DB,canopy,understory,35.94433245
39,DB,canopy,understory,35.74038352
40,DB,canopy,understory,35.68632653
41,DB,canopy,understory,35.62772266
42,DB,canopy,understory,35.57577912
43,DB,canopy,understory,35.33510787
44,DB,canopy,understory,35.90589141
45,DB,canopy,understory,36.12841942
46,DB,canopy,understory,36.38696188
47,DB,canopy,understory,37.21382612
48,DB,canopy,understory,37.24048017
49,DB,canopy,understory,37.74650986
50,DB,canopy,understory,37.88552157
1,DB,canopy,overstory,-3.58845795
2,DB,canopy,overstory,-3.964399223
3,DB,canopy,overstory,-0.725571575
4,DB,canopy,overstory,-0.862359235
5,DB,canopy,overstory,1.687795954
6,DB,canopy,overstory,-1.211874978
7,DB,canopy,overstory,-1.408243429
8,DB,canopy,overstory,-0.127164604
9,DB,canopy,overstory,-1.690861537
10,DB,canopy,overstory,-0.610970878
11,DB,canopy,overstory,-1.944025693
12,DB,canopy,overstory,-2.671601711
13,DB,canopy,overstory,-1.835647743
14,DB,canopy,overstory,-1.300823574
15,DB,canopy,overstory,-0.660202257
16,DB,canopy,overstory,-1.121549711
17,DB,canopy,overstory,-1.538350151
18,DB,canopy,overstory,-0.99085443
19,DB,canopy,overstory,-0.854996963
20,DB,canopy,overstory,-0.583521703
21,DB,canopy,overstory,-0.646226432
22,DB,canopy,overstory,-0.248582739
23,DB,canopy,overstory,-0.023847027
24,DB,canopy,overstory,-0.301795635
25,DB,canopy,overstory,-1.035335179
26,DB,canopy,overstory,-1.058654297
27,DB,canopy,overstory,-0.627316257
28,DB,canopy,overstory,-0.667676084
29,DB,canopy,overstory,-0.339361355
30,DB,canopy,overstory,-0.360074745
31,DB,canopy,overstory,-0.10483632
32,DB,canopy,overstory,-0.027793044
33,DB,canopy,overstory,0.173375262
34,DB,canopy,overstory,0.239189723
35,DB,canopy,overstory,0.166181936
36,DB,canopy,overstory,0.279227939
37,DB,canopy,overstory,0.40170174
38,DB,canopy,overstory,0.850259492
39,DB,canopy,overstory,0.787084043
40,DB,canopy,overstory,0.849529132
41,DB,canopy,overstory,0.91957334
42,DB,canopy,overstory,1.067211665
43,DB,canopy,overstory,1.256439145
44,DB,canopy,overstory,1.508187111
45,DB,canopy,overstory,1.442020174
46,DB,canopy,overstory,1.497029172
47,DB,canopy,overstory,1.580947124
48,DB,canopy,overstory,1.72088968
49,DB,canopy,overstory,1.636112658
50,DB,canopy,overstory,1.622772832
1,DB,non_canopy,understory,-0.653842336
2,DB,non_canopy,understory,1.374047289
3,DB,non_canopy,understory,0.54968228
4,DB,non_canopy,understory,4.651429964
5,DB,non_canopy,understory,8.144275827
6,DB,non_canopy,understory,16.146605
7,DB,non_canopy,understory,19.35677318
8,DB,non_canopy,understory,18.84523113
9,DB,non_canopy,understory,18.53867979
10,DB,non_canopy,understory,21.19702102
11,DB,non_canopy,understory,27.68713363
12,DB,non_canopy,understory,31.92898275
13,DB,non_canopy,understory,33.83820508
14,DB,non_canopy,understory,34.49998065
15,DB,non_canopy,understory,37.02502019
16,DB,non_canopy,understory,38.01905098
17,DB,non_canopy,understory,39.30374446
18,DB,non_canopy,understory,40.35755832
19,DB,non_canopy,understory,42.73736202
20,DB,non_canopy,understory,44.00352611
21,DB,non_canopy,understory,44.74388502
22,DB,non_canopy,understory,45.8870535
23,DB,non_canopy,understory,47.00354664
24,DB,non_canopy,understory,49.22667616
25,DB,non_canopy,understory,51.4879372
26,DB,non_canopy,understory,52.61144741
27,DB,non_canopy,understory,54.24553059
28,DB,non_canopy,understory,55.46467105
29,DB,non_canopy,understory,56.52738201
30,DB,non_canopy,understory,57.01545072
31,DB,non_canopy,understory,58.46247351
32,DB,non_canopy,understory,60.23389201
33,DB,non_canopy,understory,62.25943167
34,DB,non_canopy,understory,63.28711378
35,DB,non_canopy,understory,63.98227038
36,DB,non_canopy,understory,65.37861235
