"Row.names","Estimate","Std..Error","t.value","Pr...t..","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p","distance","LT","FT","sd.two_EB","sd.two_DB"
"two_DB",-0.00159918152929716,0.0312033145005981,-0.0512503737148343,0.959142707526113,1.0065188684308,1.00000003940701,1079.37770132557,1.00325413950345,0.993523351985478,0.000926459754330589,0.999999960592987,-0.00159918152929716,0.0312033145005981,0.95,-0.062178103299474,0.0627458868331928,-0.0512503737148343,613,0.959126012135237,1,"EB","understory",1.59163921789587,2.26259909675984
"two_EB",-0.0231670218312512,0.0313135087684937,-0.739841133822756,0.459679634794444,1.01364044863004,1.00004034200575,5.61211175271162,1.00679712386858,0.986543109394978,0.178186045478661,0.999959659621666,-0.0231670218312512,0.0313135087684937,0.95,-0.0855040452780502,0.0404897941689893,-0.739841133822756,613,0.45939639658709,1,"EB","understory",2.24981660485237,2.29561764158124
"two_DB",0.0206004724677833,0.0313948661858132,0.656173284697492,0.5119588547588,1.03199932594782,1.00244643013296,1.41855144249603,1.01587367617624,0.968992880961011,0.704944473667053,0.997559540281237,0.0206004724677833,0.0313948661858132,0.95,-0.0410275337143702,0.0838310622633269,0.656173284697492,613,0.51171263591464,2,"EB","understory",2.51977522835325,1.72821237693217
"two_EB",-0.0586079301611197,0.0326584441905781,-1.79457201999929,0.0732144997698259,1.11674270522469,1.05157182226923,1.26426949104166,1.0567604767518,0.895461412303379,0.790970601668221,0.950957394276752,-0.0586079301611197,0.0326584441905781,0.95,-0.12589625851815,0.00785667279941169,-1.79457201999929,613,0.0727219144069778,2,"EB","understory",2.4553191093203,1.35859393788641
"two_DB",0.000510551072891195,0.0307304078409748,0.0166138723421186,0.986750063377974,1.0337415238171,1.00292242481885,1.38957047659801,1.0167308020401,0.967359806063986,0.719646838243306,0.997086090861539,0.000510551072891195,0.0307304078409748,0.95,-0.0613021368173517,0.0626796145893934,0.0166138723421186,613,0.986744657557482,3,"EB","understory",2.22458168799755,1.09423993788348
"two_EB",-0.15337337251961,0.0337081464288391,-4.5500387523056,6.46829127724876e-06,1.24378426160888,1.15208682067266,1.39076868031912,1.11525076176117,0.803997952753048,0.719026833254934,0.867990139333542,-0.15337337251961,0.0337081464288391,0.95,-0.22740878544902,-0.081271899334634,-4.5500387523056,613,5.3636036693343e-06,3,"EB","understory",1.95636977558959,1.04116511181147
"two_DB",-0.0400275060206549,0.0303630998578062,-1.31829444977977,0.187897460848024,1.06156479162759,1.01502113875335,1.25232598076507,1.03032266384254,0.942005620275708,0.798514137181021,0.98520115672487,-0.0400275060206549,0.0303630998578062,0.95,-0.101516236659015,0.0211216806067506,-1.31829444977977,613,0.187405098204834,4,"EB","understory",1.74597804081706,0.985686816446155
"two_EB",-0.244507744438315,0.0348220469620108,-7.02163616932288,5.84011331075656e-12,1.39624902892352,1.2792907792823,1.56218573819842,1.18162981890418,0.716204616286093,0.640128747528603,0.781683113952415,-0.244507744438315,0.0348220469620108,0.95,-0.322290787863575,-0.16925244627579,-7.02163616932288,613,2.19284953775621e-12,4,"EB","understory",1.46038541386218,0.957894256313167
"two_DB",-0.0259971509329013,0.0295644035266775,-0.879339605463126,0.379561736334591,1.07498898811767,1.0229094642399,1.24545961791273,1.03681675725158,0.930242087178047,0.80291643792988,0.977603624718705,-0.0259971509329013,0.0295644035266775,0.95,-0.0872396990754728,0.0344011355444225,-0.879339605463126,613,0.37921716767589,5,"EB","understory",1.22693913306148,0.891877578085852
"two_EB",-0.318422733432491,0.0359461582382899,-8.85832447856158,8.73652059401434e-18,1.589171384557,1.44267060527315,1.78415624675738,1.26062341107763,0.629258750640519,0.560489027694437,0.693158920924064,-0.318422733432491,0.0359461582382899,0.95,-0.398550638214337,-0.240123479830559,-8.85832447856158,613,8.12260020742716e-19,5,"EB","understory",0.991026244924864,0.879080742346609
"two_DB",-0.0272026072340662,0.0294671805000943,-0.923149306190971,0.35629261398239,1.11082832505043,1.04725880743645,1.25990748179589,1.0539584076473,0.900229115020628,0.793709073442903,0.954873802826129,-0.0272026072340662,0.0294671805000943,0.95,-0.0894606374300704,0.033705161333985,-0.923149306190971,613,0.355929402663738,6,"EB","understory",0.88573983687468,0.870423632296127
"two_EB",-0.365749758754716,0.0368818741886754,-9.91678885090443,1.3423447505114e-21,1.74018628965556,1.57122729126615,1.95912039177903,1.31916120684909,0.57465111979358,0.510433153672564,0.636445156953815,-0.365749758754716,0.0368818741886754,0.95,-0.449654343900068,-0.283811728147875,-9.91678885090443,613,3.51895452590355e-23,6,"EB","understory",0.816283985150373,0.848772199488401
"two_DB",-0.0537841747100074,0.0289750459738099,-1.85622396453218,0.0639012748150215,1.13253986985481,1.06335985874837,1.27725467588076,1.06420856501666,0.882971122357219,0.782929214418749,0.940415412311175,-0.0537841747100074,0.0289750459738099,0.95,-0.115799668253674,0.00649417658294242,-1.85622396453218,613,0.0634216416396926,7,"EB","understory",0.766853357555137,0.829687296375052
"two_EB",-0.421075685889092,0.037149233375127,-11.3347072774594,3.60838404942161e-27,1.86167961891785,1.67485517298464,2.10022386340262,1.36443380891777,0.537149351498663,0.476139718924952,0.597066550069502,-0.421075685889092,0.037149233375127,0.95,-0.506680617728467,-0.337261948380321,-11.3347072774594,613,8.83269177449061e-30,7,"EB","understory",0.742972920121974,0.820454671480168
"two_DB",-0.0827374448372,0.0289303840067658,-2.85988062992356,0.0043822630537031,1.14945069699286,1.07631943633467,1.29265822579855,1.07212438503788,0.86998076787126,0.773599687869733,0.929092206497197,-0.0827374448372,0.0289303840067658,0.95,-0.146545028635519,-0.0212935255212846,-2.85988062992356,613,0.0042380049758079,8,"EB","understory",0.696980293455291,0.810723641007695
"two_EB",-0.445371720713794,0.0376311757217655,-11.8351795332346,2.9962593870753e-29,1.9448115543182,1.74582860191519,2.19688205960581,1.39456500541144,0.514188635798482,0.455190571395276,0.572793915108845,-0.445371720713794,0.0376311757217655,0.95,-0.533485206765566,-0.359023405614543,-11.8351795332346,613,2.56793443683245e-32,8,"EB","understory",0.684447036436433,0.806329084251118
"two_DB",-0.125611779882319,0.0290455127709558,-4.32465354882373,1.78306850144412e-05,1.20419574947816,1.11979152495062,1.34807056778127,1.09735853278596,0.830429770602788,0.741800929342931,0.893023368831172,-0.125611779882319,0.0290455127709558,0.95,-0.19153074836818,-0.062308656885824,-4.32465354882373,613,1.52771763668872e-05,9,"EB","understory",0.66758352764485,0.801121874492616
"two_EB",-0.498650312386993,0.038864163588844,-12.8305942117362,1.50761489797029e-33,2.15594483939394,1.92623864054021,2.44261793153239,1.46831360389869,0.463833759439369,0.409396814414051,0.519146474872684,-0.498650312386993,0.038864163588844,0.95,-0.586210561863393,-0.412382056200439,-12.8305942117362,613,1.10513316256167e-37,9,"EB","understory",0.656673316135197,0.796395771037951
"two_DB",-0.152351566172061,0.0299542135104139,-5.08614810130451,4.86311890407029e-07,1.30330194773567,1.2013688718629,1.45683362403143,1.14162250667008,0.767281904041794,0.686420181072389,0.832383811018304,-0.152351566172061,0.0299542135104139,0.95,-0.221813391418725,-0.0844959612332483,-5.08614810130451,613,3.65408751041652e-07,10,"EB","understory",0.646588095778735,0.792113329341199
"two_EB",-0.528641287253241,0.039307522781513,-13.4488578736351,2.57045667566081e-36,2.24429815147186,2.0017816269736,2.5455243419004,1.49809817818188,0.445573596959111,0.392846370996961,0.499554989677797,-0.528641287253241,0.039307522781513,0.95,-0.619193628374619,-0.439410125416146,-13.4488578736351,613,3.12664284555037e-41,10,"EB","understory",0.637536823866013,0.788298355933298
