"Row.names","Estimate","Std. Error","t value","Pr(>|t|)","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"(Intercept)",-2.35498675961783,0.0733973342725508,-32.0854535516632,6.54130094483821e-64,NA,NA,NA,NA,NA,NA,NA,-2.35498675961783,0.0733973342725508,0.95,-2.49547256238357,-2.20759169836766,-32.0854535516632,131,7.03503783746987e-226
"DBH05",0.172352119032605,0.0784662962550871,2.19651146107755,0.0298146802137106,1.13455113467912,1.03054899287115,1.59262208478693,1.06515310386776,0.881405843627156,0.627895349155469,0.970356583643796,0.172352119032605,0.0784662962550871,0.95,0.0229728565568479,0.327569457425663,2.19651146107755,131,0.0280553557415981
"slope",0.0212748861587765,0.0753724938762254,0.282263264284628,0.778187113243687,1.04684778274417,1.00119392188983,2.83823981010883,1.02315579592952,0.955248715700226,0.352331045614379,0.998807501859803,0.0212748861587765,0.0753724938762254,0.95,-0.122491041382719,0.168686535270147,0.282263264284628,131,0.777741651605163
"TPI",-0.0206519324330939,0.0771008623294213,-0.267856049973299,0.789231415180991,1.09540883155931,1.01341373318724,1.6786213064217,1.0466178058677,0.912901166385978,0.595726979143194,0.986763813487066,-0.0206519324330939,0.0771008623294213,0.95,-0.175623432875146,0.133243778498544,-0.267856049973299,131,0.788810124867621
"two_DB",-0.0473814987162872,0.0808033178776147,-0.586380608628616,0.558628819359757,1.2031399695775,1.06842443944175,1.60308637639742,1.09687737216952,0.831158489690243,0.623796705357375,0.935957624221419,-0.0473814987162872,0.0808033178776147,0.95,-0.207445603185109,0.112997572576051,-0.586380608628616,131,0.557619772430918
"two_EB",-0.0147401937374687,0.0767015522162717,-0.192175950962589,0.847901966597307,1.08409183379128,1.00947158383334,1.74659493436447,1.04119730781023,0.922431079019208,0.572542597212941,0.990617285335192,-0.0147401937374687,0.0767015522162717,0.95,-0.155868061375546,0.139551035428779,-0.192175950962589,131,0.847604383137248
"(Intercept)",-2.35523796365503,0.0741036876597209,-31.7830061908676,1.9661458674718e-63,NA,NA,NA,NA,NA,NA,NA,-2.35523796365503,0.0741036876597209,0.95,-2.49704384438771,-2.20638919540864,-31.7830061908676,131,1.11165920622457e-221
"DBH05",0.182392847365677,0.0774255942266877,2.35571775957786,0.0199707564180867,1.08369680878325,1.00934428812113,1.74967249614877,1.04100759304784,0.92276732006139,0.571535531478671,0.990742219249566,0.182392847365677,0.0774255942266877,0.95,0.0337218099985655,0.336707363636058,2.35571775957786,131,0.0184869580055925
"slope",0.0138359611800125,0.0769009061316019,0.179919351747751,0.857493895598396,1.06905885342367,1.00517812640854,1.92101367558873,1.03395302283212,0.935402196799074,0.52055850133057,0.994848548458729,0.0138359611800125,0.0769009061316019,0.95,-0.136776894758471,0.167544303972803,0.179919351747751,131,0.857215882613819
"TPI",-0.00755839323747437,0.0776541618351141,-0.0973340392691815,0.922609886274128,1.09010460207575,1.01149709049069,1.70616468764894,1.04408074499808,0.917343159634244,0.586109891524,0.988633590151888,-0.00755839323747437,0.0776541618351141,0.95,-0.165543836764874,0.148515589244484,-0.0973340392691815,131,0.922461124898455
