"STEM_ID","IND_ID","MESH","X","Y","SP","LT","LD05","LD15","LD","DBH05","DBH15","DBH20","DBH","RGR20","RGRa","RGRb","ci1","ci2","ci3","ci4"
51,51,"ALT700A03",99.6,52,"ブナ","DB",0,0,0,13.3,14.6,15.2,15.3,0.824051724533422,1.86514986973165,0.93662599368198,12.4617484003719,4.89290975259208,7.47257792892735,0.0962607188524836
52,52,"ALT700A03",97.4,51.3,"ケヤキ","DB",0,0,0,38.5,46.4,50.7,52.1,1.77945122038578,3.73282435876942,2.31730979054223,3.77572107706041,1.67508426825042,2.06781090027889,0.032825908531096
54,54,"ALT700A03",90.2,54.75,"アブラチャン","DB",0,0,0,5.2,7.2,7.6,7.7,2.3091864898368,6.50844800869256,1.34278605675257,38.2421818483375,17.0747738859274,20.4761659828062,0.691241979603926
55,55,"ALT700A03",92.5,55.25,"アカガシ","EB",0,0,0,20,25.2,28.2,28.7,2.12449911300932,4.62223441926773,2.60106256496396,11.5261561185382,6.0414752922631,5.38075246245119,0.103928363823956
56,56,"ALT700A03",90.8,58.85,"シキミ","EB",0,0,0,12.5,13.1,13.3,13.3,0.364914064232075,0.937671717977009,0.303036100412045,23.8805134009115,9.07046430202435,14.6175317510669,0.171142394102708
58,58,"ALT700A03",93.55,57.7,"アカガシ","EB",0,0,0,24.8,28.9,30.3,30.7,1.25540589071891,3.059958838949,1.2084211894953,9.37108917425128,4.14969925804792,5.16205318414349,0.043305915992607
59,59,"ALT700A03",93.35,57.9,"シキミ","EB",0,0,0,6.8,7.2,7.1,7.2,0.336225963764404,1.14316827679897,0,59.3513301886065,36.4722989032399,22.5719040255194,0.307127259847282
60,60,"ALT700A03",95.75,58.35,"アカガシ","EB",0,0,0,9.5,10.8,11.3,11.4,1.07247974584679,2.56508671047358,1.08134442540552,21.4251314314034,8.60145840726194,12.6449586791647,0.167277797707364
62,62,"ALT700A04",94.4,64.4,"ブナ","DB",0,0,0,36.4,42.1,44.9,45.2,1.27369595409112,2.90957932091282,1.420986922997,5.57814547987735,1.51436909980527,4.03003194296685,0.033744437105229
63,63,"ALT700A04",90.3,60.8,"オオモミジ","DB",0,0,0,22.3,23.4,23.9,23.9,0.407598708655246,0.962986877951652,0.422848731476183,13.0741341718154,4.81801850714602,8.16751077879089,0.0886048858784962
64,64,"ALT700A04",90.5,63.8,"イタヤカエデ","DB",0,0,0,15,16.1,16.3,16.4,0.524889021929074,1.41538141776415,0.369241256794707,17.8362374744026,5.18911592745902,12.5394185971199,0.107702949823753
65,65,"ALT700A04",92.2,69.05,"ヒメシャラ","DB",0,0,0,12,12.2,12.3,12.3,0.145250662296304,0.33058603902421,0.163266212783221,23.2376931431846,4.59244331584288,18.5304805602763,0.114769267065385
67,67,"ALT700A04",95.4,67,"ヒメシャラ","DB",0,0,0,67.7,69.3,70.3,70.6,0.246729203417453,0.467174525552562,0.371704766066777,3.33195724470864,0.793169870429068,2.51936237261359,0.0194250016659831
68,68,"ALT700A04",95.2,70.3,"シキミ","EB",0,0,0,6.6,8.5,8.7,8.8,1.69224748501048,5.05993028927782,0.693711159757802,29.7952314750545,5.12633497692934,24.5223557526199,0.146540745505245
69,69,"ALT700A04",93.6,71.95,"オオモミジ","DB",0,0,0,22.6,24.1,24.9,25.2,0.64055346023022,1.28523868436738,0.892643080415363,10.7647404263608,1.86162770464432,8.85165929069976,0.0514534310167006
70,70,"ALT700A04",92.9,75.15,"マメザクラ","DB",0,0,0,6.2,6.6,NA,6.8,0.543372471358912,1.25040713962668,0.597059262993623,40.0056835601595,5.3435925084598,34.4887732887696,0.173317762930131
71,71,"ALT700A04",90.5,78.6,"ヒメシャラ","DB",0,0,0,32.1,34.3,35.3,35.7,0.62526269793896,1.32578648071848,0.800106692273988,7.09636825428918,0.811590874985425,6.25289236958822,0.0318850097155342
76,76,"ALT700A04",96.8,74.8,"イタヤカエデ","DB",0,0,0,17.8,18.9,18.8,18.7,0.290147450367656,1.19926929535114,-0.212767964101115,11.844717362757,1.78338239052942,9.99994156225614,0.0613934099714596
77,77,"ALT700A04",98.15,74.95,"イタヤカエデ","DB",0,0,0,14.5,20.4,23.8,24.3,3.03722177011749,6.82772502847284,3.49882898992665,8.20719011868281,1.25932300156933,6.90133371691254,0.0465334002009338
78,78,"ALT700A05",99.6,85,"イタヤカエデ","DB",0,0,0,21.5,27.5,30.2,30.7,2.09535129093844,4.92266139077817,2.20153299841252,5.31632098737264,0.408959301273928,4.86797969336692,0.0393819927317932
84,84,"ALT700A05",95.05,82.05,"チドリノキ","DB",0,0,0,6,7.5,7.5,7.6,1.39052222390724,4.4628710262842,0.26490453500041,36.5363014340942,2.26322236003344,34.0984685955225,0.174610478538275
85,85,"ALT700A05",91.85,80.3,"オオモミジ","DB",0,0,0,15.3,16.5,17.9,18.4,1.08528138950912,1.5101510501629,2.1798056741681,14.331803246458,1.30191259046267,12.96840724753,0.0614834084653126
86,86,"ALT700A05",91.6,80.25,"オオモミジ","DB",0,0,0,5.8,7.1,7.2,7.4,1.43307107445736,4.04473732989792,0.82770432325709,41.9057643917486,3.25516643690599,38.4983920117498,0.152205943092848
88,88,"ALT700A05",90.6,88.2,"オオモミジ","DB",0,0,0,25,30.1,30.5,25.3,0.0701680639133754,3.71298693773259,-3.47441552042711,9.22317504083757,0.505687524029301,8.6862191331032,0.0312683837050672
89,89,"ALT700A05",94,89.2,"ヒメシャラ","DB",0,0,0,40.1,41.5,NA,28.1,-2.09180445866367,0.686341858482583,-7.79847701793905,6.92114718442123,0.421498655987354,6.48065522342159,0.018993305012289
90,90,"ALT700A05",96.7,88.3,"チドリノキ","DB",0,0,0,5.6,7,7.5,7.6,1.79636264441872,4.4628710262842,1.64476196473944,23.6664847899962,1.54472085994795,22.0252375961736,0.0965263338746704
92,91,"ALT700A05",99.15,86.75,"アブラチャン","DB",0,0,0,6.5,7.4,7.8,7.9,1.14741519159638,2.59355646617065,1.30765518525703,27.773468573848,1.49617971077733,26.1697978729152,0.107490990155407
94,94,"ALT700A05",94.6,93.05,"アブラチャン","DB",0,0,0,6.3,7.8,8.1,8.1,1.47832016635827,4.27148200596118,0.754806559656942,39.454506153143,1.13412002511276,38.2661111381849,0.0542749898453402
97,97,"ALT700A05",91.1,92.4,"ヒメシャラ","DB",0,0,0,43.4,44.8,45.4,45.8,0.316615588316353,0.634973966291605,0.441519033983997,4.48520603903703,0.220256819271816,4.25514580389848,0.00980341586673449
98,98,"ALT700A05",90.4,97.6,"カジカエデ","DB",0,0,0,9.7,11.6,12.2,12.5,1.49178093411128,3.57758425205964,1.49447092391873,13.135615904059,0.465216995913263,12.6502260331932,0.0201728749524576
100,100,"ALT700A05",93.8,95.6,"ヒメシャラ","DB",0,0,0,33.8,34.3,34.6,34.8,0.171509319361503,0.293691033658422,0.289440652170689,5.29978550980569,0.15791687821044,5.13392724856148,0.00794138303376726
106,104,"ALT700A05",92.6,99.3,"アブラチャン","DB",0,0,0,7.6,7.9,8,8,0.301725261103238,0.774290243613808,0.251575644137199,18.288422930761,0.77762519121473,17.481125071743,0.029672667803228
167,167,"ALT700A03",81.9,54.2,"ブナ","DB",0,1,0,26.9,NA,NA,18.9,-2.07626096789528,NA,NA,18.2654475509764,8.15673726718843,9.91206890223915,0.196641381548843
171,171,"ALT700A03",86.7,58.8,"アカガシ","EB",0,0,0,12,16.4,17.8,18.2,2.45008790761617,6.24749370084305,2.08280518505194,22.280471277498,10.8075103589872,11.3235235793819,0.149437339128795
