STEM_ID,IND_ID,MESH,X,Y,SP,LT,LD05,LD15,LD20,LD24,DBH05,DBH15,DBH20,DBH24,BA24,TBA24,X_modified,Y_modified,ALT,slope,TPI
1051,1051,ALT600A01,7.15,90.5,シキミ,EB,0,0,0,0,7.4,7.9,8.3,8.8,0.006082,0.006082,46678.46206,-93406.18223,603.3508301,5.061830382,-0.210119074
1052,1052,ALT600A01,6.5,91.55,ヒメシャラ,DB,0,0,0,0,13.4,13.9,14.4,15.2,0.018146,0.018146,46677.69417,-93405.2151,603.3508301,5.136325186,-0.22804592
1053,1053,ALT600A01,5.5,91.75,ケヤキ,DB,0,0,0,0,40,40.4,40.6,40.7,0.1301,0.1301,46676.67768,-93405.13295,603.3508301,5.2524389,-0.30690918
1054,1054,ALT600A01,0.95,93.2,ケヤキ,DB,0,0,1,1,68.9,70.3,,,,,46671.98975,-93404.22284,601.5012207,5.256703934,-0.329430622
1055,1055,ALT600A01,5.1,94.65,タンナサワフタギ,DB,0,0,0,0,5.9,5.9,6,7.2,0.004072,0.004072,46675.94259,-93402.29929,598.7629395,5.807159021,-0.356470744
1056,1056,ALT600A01,,,カジカエデ,DB,0,0,1,1,27.1,27.9,,,,,,,,,
1057,1056,ALT600A01,,,カジカエデ,DB,0,0,1,1,5.9,6,,,,,,,,,
1058,1058,ALT600A01,,,アカガシ,EB,0,0,1,1,10.5,12.8,,,,,,,,,
1059,1059,ALT600A01,,,オオモミジ,DB,1,1,1,1,13.6,,,,,,,,,,
2162,2162,ALT600A01,,,イヌガシ,EB,0,1,1,1,4.9,7.4,,,,,,,,,
2187,1056,ALT600A01,,,カジカエデ,DB,0,0,1,1,5.3,5.7,,,,,,,,,
1040,1040,ALT600A01,9.6,83.15,イヌガシ,EB,0,0,0,0,7.3,8.5,8.8,8.9,0.006221,0.006221,46681.75158,-93413.19679,607.194397,3.790444421,0.278549194
1041,1041,ALT600A01,4.8,81.85,アカガシ,EB,0,0,0,0,9.9,12.1,13,13.4,0.014103,0.014103,46677.13569,-93415.04709,608.9017334,3.241286362,0.41365383
1042,1042,ALT600A01,3.85,80.75,イヌガシ,EB,0,0,0,0,9.2,10.9,12,12.9,0.01307,0.01307,46676.3203,-93416.25027,608.9017334,3.292211254,0.414639986
1043,1043,ALT600A01,0.7,82.65,アカガシ,EB,0,0,0,0,13.3,15.8,16.7,17.2,0.023235,0.023235,46672.97041,-93414.73014,606.8369141,3.639682309,0.250648499
1044,1044,ALT600A01,0.5,85,イヌガシ,EB,0,0,0,0,6,7.4,8.5,9.3,0.006793,0.006793,46672.49803,-93412.41944,604.5037842,3.941611804,0.059034265
1045,1045,ALT600A01,,,シラキ,DB,0,0,1,1,10.1,11.1,,,,,,,,,
1046,1046,ALT600A01,3.25,88.5,カジカエデ,DB,0,0,0,0,25.3,25.8,26.5,28.1,0.062016,0.062016,46674.82159,-93408.62292,604.5037842,4.612973863,-0.117961426
1047,1047,ALT600A01,5.55,86.75,ケヤキ,DB,0,0,0,0,67.6,69.5,70.2,71.7,0.403765,0.403765,46677.30979,-93410.09308,606.3274536,4.27571492,0.077524821
1048,1048,ALT600A01,6.45,87.45,シキミ,EB,0,0,0,1,10.9,11.1,11.1,,,,46678.12212,-93409.29301,606.3274536,4.387569456,0.009983229
1049,1049,ALT600A01,6.45,85.4,イヌガシ,EB,0,0,0,0,11.3,12.6,13.1,13.5,0.014314,0.015512,46678.36092,-93411.32905,606.3274536,4.183519348,0.161202171
1050,1050,ALT600A01,7.55,85.6,オオモミジ,DB,0,0,0,0,12.5,13.3,14,14.9,0.017437,0.017437,46679.43014,-93411.00227,606.3274536,4.380477233,0.143952869
2686,2686,ALT600A01,0.4,80.9,イヌガシ,EB,,0,0,0,,4.9,6.3,6.2,0.003019,0.003019,46672.87631,-93416.50317,606.8369141,3.099124427,0.3972057
2687,2687,ALT600A01,,,イヌガシ,EB,,0,0,1,,4.9,5.7,,,,,,,,
2688,2688,ALT600A02,0.15,78.1,イヌガシ,EB,,0,0,0,,5.3,5.8,7,0.003848,0.003848,46672.95418,-93419.31323,608.0592651,2.662257701,0.39581543
2689,2689,ALT600A02,1,79.3,イヌガシ,EB,,0,0,0,,5,5.8,6,0.002827,0.002827,46673.65861,-93418.02239,606.8369141,2.969995982,0.403699239
2794,2794,ALT600A01,8.3,87.9,イヌガシ,EB,,,0,0,,,5.3,5.5,0.002376,0.002376,46679.90711,-93408.63057,606.3274536,4.400686691,-0.090292969
2795,2795,ALT600A01,4.45,86.8,アカガシ,EB,,,0,0,,,5.2,5.7,0.002552,0.003212,46676.21145,-93410.17156,604.5037842,4.329414583,0.005644531
1080,1080,ALT600A01,9.85,84.35,イヌガシ,EB,0,0,0,0,5,6.4,7.3,7.7,0.004657,0.004657,46681.86009,-93411.97584,607.194397,4.007278817,0.120307922
1028,1028,ALT600A02,,,アカガシ,EB,0,0,1,1,10.9,10.5,,,,,,,,,
1029,1029,ALT600A02,6.65,70.4,アカガシ,EB,0,0,0,0,11,14.1,14.7,15,0.017671,0.017671,46680.3069,-93426.20363,611.022583,1.646681822,0.517070423
1030,1030,ALT600A02,3.8,72.95,イヌシデ,DB,0,0,0,0,38.2,39.3,39.8,40.2,0.126923,0.126923,46677.17925,-93424.00299,610.5209351,1.581390134,0.485891113
1031,1031,ALT600A02,,,シキミ,EB,0,0,1,1,9.9,10.2,,,,,,,,,
1032,1032,ALT600A02,4.25,74.5,アカガシ,EB,0,0,0,0,8.4,9.7,10.3,10.7,0.008992,0.008992,46677.44563,-93422.41112,610.5209351,1.745674353,0.499076843
1033,1033,ALT600A02,3.05,73.7,タンナサワフタギ,DB,0,0,1,1,6.4,6.3,,,,,46676.34699,-93423.34546,610.5209351,1.535610827,0.50304645
1034,1034,ALT600A02,4,75.95,イヌガヤ,EC,0,0,0,0,6.8,6.8,6.7,6.8,0.003632,0.003632,46677.02842,-93421.00011,610.5209351,1.745674353,0.499076843
1035,1035,ALT600A02,1.8,72.15,イヌガシ,EB,0,0,0,0,6.2,8.6,9.6,10.1,0.008012,0.008012,46675.28606,-93425.03052,608.3099365,1.461976768,0.452966309
1036,1036,ALT600A02,,,イヌガヤ,EC,0,0,0,1,7.1,7,6.8,,,,,,,,
1037,1037,ALT600A02,1.2,74.1,イヌガシ,EB,0,0,0,0,6.4,8.2,9.1,9.5,0.007088,0.007088,46674.46299,-93423.16369,608.0592651,1.649777346,0.463214377
1038,1038,ALT600A02,2.45,77.8,イヌガシ,EB,0,0,0,0,5.6,6.7,7.5,8,0.005027,0.005027,46675.27347,-93419.34327,608.0592651,2.351543224,0.462542216
1039,1039,ALT600A02,4.15,78.85,アカガシ,EB,0,0,0,0,32,38,41.8,43.8,0.150674,0.150674,46676.83958,-93418.10238,608.9017334,2.648715368,0.455375977
2361,2361,ALT600A02,4.75,71.05,イヌガシ,EB,,0,0,0,,5.3,5.6,6.2,0.003019,0.003019,46678.34411,-93425.77939,611.022583,1.557100221,0.517500444
2576,2576,ALT600A02,1.25,76.95,イヌガシ,EB,,0,0,0,,4.9,5.7,6.2,0.003019,0.003019,46674.18066,-93420.32727,608.0592651,1.644192794,0.452375932
2796,2796,ALT600A02,1.8,74.05,イヌガシ,EB,,,0,0,,,4.8,4.9,0.001886,0.001886,46675.06473,-93423.14345,608.0592651,1.726183146,0.482788086
1018,1018,ALT600A02,8.8,69.45,ヤブニッケイ,EB,0,0,0,0,11.9,13.9,14.8,15.8,0.019607,0.021492,46682.55292,-93426.89671,613.3761597,2.077537666,0.560546875
1019,1019,ALT600A02,9.4,67.65,オオモミジ,DB,0,0,0,0,51.2,54.8,56.9,58.6,0.269703,0.269703,46683.35852,-93428.61457,613.3761597,2.320686799,0.553522525
1020,1020,ALT600A02,9.05,68.05,イヌガシ,EB,0,0,0,0,16.3,22,24.9,26.5,0.055155,0.073781,46682.96431,-93428.25806,613.3761597,2.159542997,0.570046165
1021,1020,ALT600A02,9.05,68.05,イヌガシ,EB,0,0,0,0,13.8,15,15.3,15.4,0.018627,0.073781,46682.96431,-93428.25806,613.3761597,2.159542997,0.570046165
1022,1022,ALT600A02,5.35,63.45,イヌガシ,EB,0,0,0,0,16.3,18.7,19.9,20.4,0.032685,0.033065,46679.82535,-93433.25775,610.4072266,2.371585385,0.421392267
1023,1023,ALT600A02,5.25,61.55,イヌガシ,EB,0,0,0,0,15.4,19.2,20.7,21.4,0.035968,0.038414,46679.94736,-93435.15647,610.4072266,2.634983604,0.332181295
1024,1024,ALT600A02,0.8,61.3,イヌガシ,EB,0,0,1,1,19,18.2,,,,,46675.55677,-93435.92314,606.1049194,2.48219914,0.311172485
1025,1025,ALT600A02,1.5,64.95,アカガシ,EB,0,0,0,0,26.2,31.2,34.1,35.7,0.100098,0.100098,46675.82682,-93432.21645,607.6175537,1.981392919,0.4009375
1026,1026,ALT600A02,1.45,65.65,ケヤキ,DB,0,0,0,0,44.7,46.2,47,47.7,0.178701,0.178701,46675.69562,-93431.52704,607.6175537,1.981392919,0.4009375
1027,1027,ALT600A02,3.8,68.9,ウラジロガシ,EB,0,0,0,0,11,14,14.9,15.7,0.019359,0.019359,46677.65103,-93428.02541,611.022583,1.566838176,0.506453081
