STEM_ID,IND_ID,MESH,X,Y,SP,LT,LD05,LD15,LD20,LD24,DBH05,DBH15,DBH20,DBH24,BA24,TBA24,X_modified,Y_modified,ALT,slope,TPI
218,218,ALT800A03,84.25,51.75,アカガシ,EB,0,0,0,0,16.2,21.7,23.9,25.4,0.050671,0.069784,47529.8602,-92620.10405,764.8133545,1.038255806,0.090548429
219,219,ALT800A03,82.4,51,イヌシデ,DB,0,0,0,0,39.4,45.1,48,49.2,0.190117,0.190117,47527.88229,-92620.37397,764.8133545,1.054820935,0.099164327
220,220,ALT800A03,,,シキミ,EB,0,1,1,1,11.5,,,,,,,,,,
221,221,ALT800A03,,,シキミ,EB,0,0,1,1,12.5,12.4,,,,,,,,,
222,222,ALT800A03,,,リョウブ,DB,0,1,1,1,10.7,,,,,,,,,,
223,223,ALT800A03,,,シキミ,EB,1,1,1,1,10.3,,,,,,,,,,
224,224,ALT800A03,81.25,56.5,アブラチャン,DB,0,1,1,1,8.1,,,,,,47528.12612,-92614.76032,762.9776611,1.237058794,0.047871908
225,224,ALT800A03,81.25,56.5,アブラチャン,DB,0,1,1,1,4.9,,,,,,47528.12612,-92614.76032,762.9776611,1.237058794,0.047871908
1592,224,ALT800A03,81.25,56.5,アブラチャン,DB,,0,0,0,,6.4,7.8,8.3,0.005411,0.007073,47528.12612,-92614.76032,762.9776611,1.237058794,0.047871908
226,226,ALT800A03,80.55,59.1,シキミ,EB,0,0,0,0,17.7,18,18.1,18.1,0.02573,0.028848,47528.08986,-92612.06798,762.9776611,1.36154323,0.044878642
227,226,ALT800A03,80.55,59.1,シキミ,EB,0,0,0,1,6,6.4,6.4,,,,47528.08986,-92612.06798,762.9776611,1.36154323,0.044878642
